genotype,population,year,StandCountMetric,TotalCount,PeakCount,PeakDAP,StartCount,EndCount,StartDAP,EndDAP,Duration,LastEffectiveFlowerCount,LastEffectiveFlowerPercent,ElongationPct,FiberStrength,FiberUniformityIndexPct,LintPct,LintYield,MicronaireUnits,SeedYield,ShortFiberContentPct,UpperHalfMeanLen
F4 2022 069,Testing,2024,6.172141408666667,422.3333333333333,148,93,21.116666666666667,401.21666666666664,71,103,32,398.3333333333333,0.9395000974596516,6.1,31.833333333333332,85.93333333333334,44.766666666666666,1263.4866666666667,5.0600000000000005,7695.333333333333,5.366666666666666,1.1933333333333334
F4 2022 072,Testing,2024,6.953566764333333,382.3333333333333,107,90.66666666666667,19.116666666666667,363.21666666666664,72,106.66666666666667,34.666666666666664,360.3333333333333,0.9418040405171869,6.133333333333334,33.1,85.60000000000001,44.79666666666667,1430.2066666666667,4.963333333333334,8723.333333333334,5.5,1.1756666666666666
F4 2022 074,Testing,2024,5.1845348,414,112.66666666666667,90,20.7,393.29999999999995,73,100.66666666666667,27.666666666666668,398,0.9601810924366392,6.233333333333333,31.96666666666667,84.66666666666667,44.09,1383.6933333333334,4.796666666666667,8572.333333333334,5.666666666666667,1.202
F4 2022 079,Testing,2024,5.662437497333333,260.3333333333333,46.666666666666664,91,13.016666666666667,247.31666666666666,71,104.33333333333333,33.333333333333336,244,0.9379454744659483,6.533333333333333,33.3,86.36666666666666,44.88,1349.8066666666666,4.75,8209.333333333334,5.166666666666666,1.2113333333333334
F4 2022 083,Testing,2024,6.125435921333334,551,197,95,27.55,523.4499999999999,74,103,29,526.3333333333334,0.9485922029373682,6.233333333333333,31.333333333333336,85.76666666666667,44.63666666666666,1517.0633333333333,4.89,9298.333333333334,5.466666666666667,1.2329999999999999
F4 2022 087,Testing,2024,6.273039741333333,350,86,88.66666666666667,17.5,332.5,69.33333333333333,102,32.666666666666664,332.3333333333333,0.9497730397250441,7.3,31.833333333333332,86.2,44.06666666666667,1145.5966666666668,4.883333333333334,7060.333333333333,5.266666666666667,1.231
F4 2022 088,Testing,2024,5.555693894333333,538.3333333333334,190.33333333333334,89,26.916666666666668,511.4166666666667,72,100.66666666666667,28.666666666666668,518,0.9585332436355214,7.066666666666666,32.43333333333333,86.8,43.96333333333333,1173.84,5.1899999999999995,7287.333333333333,4.6,1.2603333333333333
F4 2022 095,Testing,2024,5.156537325333333,401.6666666666667,83.33333333333333,83.66666666666667,20.083333333333332,381.5833333333333,68.33333333333333,106.66666666666667,38.333333333333336,375.6666666666667,0.9250513427895173,7,32.7,85.63333333333333,43.653333333333336,1075.0966666666666,5.343333333333333,6712.666666666667,5.4,1.184
F4 2022 106,Testing,2024,7.875230696666667,481,124,88.66666666666667,24.05,456.95,69.33333333333333,103,33.666666666666664,461.6666666666667,0.9570530972638925,6.5,33.699999999999996,86.3,45.303333333333335,1369.5733333333333,5.113333333333333,8255,5,1.2333333333333334
F4 2022 118,Testing,2024,5.200509569,442.3333333333333,88.66666666666667,86.33333333333333,22.116666666666667,420.21666666666664,68.33333333333333,103,34.666666666666664,423,0.9525663029430809,6.166666666666667,30.633333333333333,85.8,44.343333333333334,1276.6666666666667,4.6033333333333335,7862,5.433333333333334,1.2016666666666667
F4 2022 124,Testing,2024,7.074207996666667,489,158,93,24.45,464.55,72,104.33333333333333,32.333333333333336,463.3333333333333,0.9370478156803359,6.133333333333334,32.33333333333333,86.06666666666666,44.24333333333333,1318.87,4.693333333333333,8134,4.9,1.267
F4 2022 152,Testing,2024,4.879898334,479,156.33333333333334,95,23.95,455.05,72,100.66666666666667,28.666666666666668,453.3333333333333,0.946230093818788,6.766666666666667,32.1,86.13333333333333,44.10333333333333,1471.41,4.766666666666667,9117,5.133333333333334,1.2316666666666667
F4 2022 153,Testing,2024,5.207858148,520,153.33333333333334,86.33333333333333,26,494,69.33333333333333,104.33333333333333,35,489,0.9254561371542503,7.166666666666667,31.3,86.43333333333334,44.18,920.4366666666666,5.136666666666667,5684.333333333333,5.133333333333333,1.222
F4 2022 158,Testing,2024,6.748392648333333,469,137.33333333333334,92,23.45,445.55,73,102,29,441,0.9398220047304928,6.733333333333333,29.599999999999998,85.83333333333333,41.96,1202.1666666666667,4.93,7801.333333333333,5.366666666666667,1.2443333333333333
F4 2022 166,Testing,2024,6.3945700070000004,549.6666666666666,177.33333333333334,86.33333333333333,27.483333333333334,522.1833333333333,69.33333333333333,108,38.666666666666664,519.6666666666666,0.9276010287155798,6.466666666666667,32.7,86.1,42.653333333333336,1071.4433333333332,5.14,6864,5.366666666666666,1.2206666666666668
F4 2022 169,Testing,2024,4.316299979666667,525.3333333333334,154,89.33333333333333,26.26666666666667,499.06666666666666,71,104.33333333333333,33.333333333333336,498.3333333333333,0.9463066864279929,6.633333333333334,32.13333333333333,86.23333333333333,43.56333333333333,1004.0933333333334,5.153333333333333,6289.333333333333,4.8,1.2593333333333334
F4 2022 187,Testing,2024,5.2754934743333335,501.6666666666667,172.66666666666666,89.33333333333333,25.083333333333336,476.5833333333333,65.66666666666667,103,37.333333333333336,479,0.9472933589465491,6.333333333333333,32.16666666666667,85.73333333333333,45.946666666666665,1253.4166666666667,5.093333333333333,7438.666666666667,5.2,1.2293333333333334
F4 2022 188,Testing,2024,5.3568281073333335,405.6666666666667,105.33333333333333,90.66666666666667,20.283333333333335,385.3833333333333,73,105.33333333333333,32.333333333333336,376.3333333333333,0.9140558368265375,6.766666666666667,31.333333333333332,85.96666666666667,44.986666666666665,1271.9333333333334,4.996666666666667,7710.333333333333,4.766666666666667,1.247
F4 2022 189,Testing,2024,6.625288968666666,517,181.66666666666666,89,25.85,491.15,73,99.33333333333333,26.333333333333332,499.3333333333333,0.9623477432849631,6.766666666666667,30.866666666666667,86.2,45.47,1364.7033333333334,5.016666666666667,8194.333333333334,5.4,1.224
F4 2022 194,Testing,2024,4.945362014333333,449,130,92,22.450000000000003,426.54999999999995,73,100.66666666666667,27.666666666666668,432.6666666666667,0.9597645739039176,6.833333333333334,32.53333333333333,86.8,42.096666666666664,1184.9833333333333,5.083333333333333,7695.666666666667,4.666666666666667,1.246
